Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2003-09-26,54.097477,54.336143,54.097477,54.336143,22248.727,1208910.0,102.45,0.0,0,0,0
2003-09-29,54.251286,54.25659,54.150513,54.18764,25642.6,1389974.0,102.17,0.0,0,0,0
2003-09-30,54.25659,54.48995,54.251286,54.468735,118031.38,6423429.0,102.7,0.0,0,0,0
2003-10-01,54.436913,54.495255,54.4157,54.44222,125007.67,6805946.0,102.65,0.0,0,0,0
2003-10-02,54.20355,54.44222,54.102783,54.357357,129909.94,7054037.0,102.49,0.0,0,0,0
2003-10-03,54.123997,54.123997,53.938366,53.964886,121613.805,6571098.0,101.75,0.0,0,0,0
2003-10-06,53.906548,54.092175,53.88533,54.04444,54113.43,2923129.0,101.9,0.0,0,0,0
2003-10-07,54.06566,54.06566,53.76865,53.858814,24511.309,1321746.0,101.55,0.0,0,0,0
2003-10-08,53.82699,54.123997,53.715614,53.991405,80510.22,4346044.0,101.8,0.0,0,0,0
2003-10-09,53.773952,53.832294,53.620148,53.800472,67688.92,3636903.0,101.44,0.0,0,0,0
2003-10-10,53.92776,54.123997,53.92776,54.097477,25454.05,1375489.0,102.0,0.0,0,0,0
2003-10-13,54.097477,54.150513,53.858814,53.858814,44686.0,2413304.0,101.55,0.0,0,0,0
2003-10-14,53.800472,53.880024,53.64136,53.75274,102381.85,5506356.0,101.35,0.0,0,0,0
2003-10-15,53.66258,53.694397,53.514076,53.620148,43554.71,2336534.0,101.1,0.0,0,0,0
2003-10-16,53.773952,53.858814,53.328445,53.476948,117465.734,6298181.0,100.83,0.0,0,0,0
2003-10-17,53.588326,53.73152,53.43452,53.73152,104832.984,5616839.0,101.31,0.0,0,0,0
2003-10-20,53.64136,53.816383,53.64136,53.699703,24322.76,1306722.0,101.25,0.0,0,0,0
2003-10-21,53.773952,53.95428,53.773952,53.805775,92388.78,4977645.0,101.45,0.0,0,0,0
2003-10-22,53.964886,54.070957,53.8376,54.04444,47891.33,2585753.0,101.9,0.0,0,0,0
2003-10-23,54.01262,54.02853,53.91185,53.91185,39029.547,2106717.0,101.65,0.0,0,0,0
2003-10-24,53.991405,54.177032,53.991405,54.177032,53170.684,2874617.0,102.15,0.0,0,0,0
2003-10-27,54.118694,54.161125,53.991405,54.070957,66746.18,3610251.0,101.95,0.0,0,0,0
2003-10-28,53.991405,54.283108,53.991405,54.283108,31299.057,1693590.0,102.35,0.0,0,0,0
2003-10-29,54.139908,54.150513,54.04444,54.04444,135189.3,7317221.0,101.9,0.0,0,0,0
