Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
1993-01-29,24.783781,24.783781,24.642965,24.783781,1781035.8,44078100.0,44.0,0.0,0,0,0
1993-02-01,24.783781,24.924599,24.783781,24.924599,853057.9,21262124.0,44.25,0.0,0,0,0
1993-02-02,24.924599,24.995007,24.85419,24.995007,357378.88,8926397.0,44.375,0.0,0,0,0
1993-02-03,24.995007,25.276642,24.995007,25.206232,939872.7,23723738.0,44.75,0.0,0,0,0
1993-02-04,25.34705,25.417458,25.276642,25.34705,943600.94,23917500.0,45.0,0.0,0,0,0
1993-02-05,25.34705,25.34705,25.206232,25.34705,873652.0,22129122.0,45.0,0.0,0,0,0
1993-02-08,25.34705,25.417458,25.276642,25.34705,1058288.9,26805872.0,45.0,0.0,0,0,0
1993-02-09,25.206232,25.206232,25.065416,25.135824,216770.8,5452528.0,44.625,0.0,0,0,0
1993-02-10,25.135824,25.206232,25.065416,25.206232,673924.56,16975238.0,44.75,0.0,0,0,0
1993-02-11,25.206232,25.417458,25.206232,25.34705,34619.414,876281.0,45.0,0.0,0,0,0
1993-02-12,25.276642,25.276642,25.135824,25.135824,75452.57,1896562.5,44.625,0.0,0,0,0
1993-02-16,25.065416,25.065416,24.43174,24.502148,665402.9,16292088.0,43.5,0.0,0,0,0
1993-02-17,24.502148,24.502148,24.36133,24.502148,374422.28,9160969.0,43.5,0.0,0,0,0
1993-02-18,24.783781,24.783781,24.079697,24.43174,671261.56,16411903.0,43.375,0.0,0,0,0
1993-02-19,24.43174,24.502148,24.43174,24.502148,61959.875,1518150.0,43.5,0.0,0,0,0
1993-02-22,24.642965,24.642965,24.502148,24.642965,911822.1,22453950.0,43.75,0.0,0,0,0
1993-02-23,24.713373,24.713373,24.502148,24.642965,663450.0,16326019.0,43.75,0.0,0,0,0
1993-02-24,24.642965,24.924599,24.642965,24.924599,46691.824,1163775.0,44.25,0.0,0,0,0
1993-02-25,24.924599,24.995007,24.85419,24.995007,79003.28,1973297.0,44.375,0.0,0,0,0
1993-02-26,25.065416,25.065416,24.924599,24.995007,117528.47,2939694.0,44.375,0.0,0,0,0
