Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2004-09-29,21.509535,21.539698,21.475065,21.479374,477627.03,10259130.0,49.85,0.0,0,0,0
2004-09-30,21.612947,21.686197,21.539698,21.651726,64751.188,1401975.0,50.25,0.0,0,0,0
2004-10-01,21.694815,22.082607,21.651726,22.052444,301243.88,6563830.0,51.18,0.0,0,0,0
2004-10-04,22.14293,22.21187,22.14293,22.14724,18798.732,416523.0,51.4,0.0,0,0,0
2004-10-05,22.14724,22.190327,22.125694,22.14293,27617.89,611975.0,51.39,0.0,0,0,0
2004-10-06,22.190327,22.246342,22.186018,22.246342,21583.729,479589.0,51.63,0.0,0,0,0
2004-10-07,22.25496,22.25496,22.017975,22.017975,18334.566,406329.0,51.1,0.0,0,0,0
2004-10-08,22.220488,22.220488,22.082607,22.125694,38061.63,843991.0,51.35,0.0,0,0,0
2004-10-11,22.190327,22.190327,22.017975,22.039518,10443.74,230714.0,51.15,0.0,0,0,0
2004-10-12,22.061064,22.112768,21.974886,22.112768,8354.992,184293.0,51.32,0.0,0,0,0
2004-10-13,22.21187,22.224798,22.168783,22.168783,5802.0776,128753.0,51.45,0.0,0,0,0
2004-10-14,22.168783,22.345444,22.168783,22.341133,44559.957,991111.0,51.85,0.0,0,0,0
2004-10-15,22.448854,22.569502,22.440237,22.569502,22744.145,511785.0,52.38,0.0,0,0,0
2004-10-18,22.556574,22.750471,22.530722,22.690147,9283.324,210608.0,52.66,0.0,0,0,0
2004-10-19,22.750471,22.836647,22.569502,22.569502,14389.152,326726.0,52.38,0.0,0,0,0
2004-10-20,22.53503,22.53503,22.25065,22.461782,12764.571,285242.0,52.13,0.0,0,0,0
2004-10-21,22.418694,22.690147,22.418694,22.690147,17174.15,388819.0,52.66,0.0,0,0,0
2004-10-22,22.685839,22.79356,22.509178,22.509178,162226.1,3693019.0,52.24,0.0,0,0,0
2004-10-25,22.491943,22.491943,22.3239,22.401459,32491.635,728357.0,51.99,0.0,0,0,0
2004-10-26,22.461782,22.612589,22.414385,22.612589,20887.48,469820.0,52.48,0.0,0,0,0
2004-10-27,22.776323,22.879734,22.724619,22.879734,21119.562,481624.0,53.1,0.0,0,0,0
2004-10-28,22.840956,22.944366,22.82372,22.892662,29706.639,679687.0,53.13,0.0,0,0,0
